City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Atuona,PF,-9.8,-139.0333,78.57,78,21,20.29,light rain
1,Barrow,US,71.2906,-156.7887,-0.38,78,0,28.77,snow
2,Qaanaaq,GL,77.484,-69.3632,1.81,56,44,8.1,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,55.51,58,40,19.57,scattered clouds
4,Liwale,TZ,-9.7667,37.9333,69.37,99,99,1.83,moderate rain
5,Hamilton,US,39.1834,-84.5333,32.23,75,100,10.36,overcast clouds
6,East London,ZA,-33.0153,27.9116,72.21,73,70,10.27,broken clouds
7,Mar Del Plata,AR,-38.0023,-57.5575,82.42,62,0,13.8,clear sky
8,Nyaunglebin,MM,17.95,96.7333,64.69,35,2,4.36,clear sky
9,Jamestown,US,42.097,-79.2353,21.29,65,100,14.97,mist
10,Oranjemund,NA,-28.55,16.4333,65.37,90,76,15.93,broken clouds
11,Busselton,AU,-33.65,115.3333,66.09,77,53,17.4,broken clouds
12,Roald,NO,62.5833,6.1333,35.74,75,40,5.75,scattered clouds
13,Moerai,PF,-22.4333,-151.3333,80.89,71,79,9.33,broken clouds
14,San Quintin,MX,30.4833,-115.95,60.46,35,40,12.08,scattered clouds
15,Butaritari,KI,3.0707,172.7902,81.39,77,100,17.96,light rain
16,Hastings,GB,50.8552,0.5729,43.52,60,1,3.13,clear sky
17,Aksarka,RU,66.5606,67.7975,8.51,88,77,11.5,broken clouds
18,Komsomolskiy,UZ,40.4272,71.7189,41.72,65,59,6.91,haze
19,Mataura,NZ,-46.1927,168.8643,56.48,61,99,7.23,overcast clouds
20,Vaini,TO,-21.2,-175.2,80.76,94,75,4.61,broken clouds
21,Broome,US,42.2506,-75.833,26.56,74,100,13.8,overcast clouds
22,Avarua,CK,-21.2078,-159.775,84.25,74,100,10.36,overcast clouds
23,Severo-Kurilsk,RU,50.6789,156.125,26.51,73,93,25.37,overcast clouds
24,Koosa,EE,58.5255,27.0795,34.84,78,100,15.3,overcast clouds
25,Killybegs,IE,54.6333,-8.45,46.45,84,100,22.86,overcast clouds
26,Vila Velha,BR,-20.3297,-40.2925,78.94,90,20,8.05,few clouds
27,Hithadhoo,MV,-0.6,73.0833,82.11,73,18,5.66,few clouds
28,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,74,0,6.91,clear sky
29,Harer,ET,9.3094,42.1258,65.79,54,87,2.55,overcast clouds
30,Narsaq,GL,60.9167,-46.05,17.82,95,100,3.29,light snow
31,Kapaa,US,22.0752,-159.319,79.48,66,0,12.66,clear sky
32,Ushuaia,AR,-54.8,-68.3,53.26,62,75,23.02,broken clouds
33,Hermanus,ZA,-34.4187,19.2345,66.79,91,37,7.38,scattered clouds
34,Camana,PE,-16.6228,-72.7111,73.08,84,94,6.33,moderate rain
35,Leh,IN,34.1667,77.5833,5.81,80,100,2.86,overcast clouds
36,Thanh Hoa,VN,19.8,105.7667,54.36,85,89,4.34,overcast clouds
37,Port Alfred,ZA,-33.5906,26.891,72.52,77,16,17.69,few clouds
38,Mount Isa,AU,-20.7333,139.5,80.37,39,22,10.36,few clouds
39,Ostrovnoy,RU,68.0531,39.5131,23.02,98,99,5.93,overcast clouds
40,Hobart,AU,-42.8794,147.3294,60.26,70,75,8.05,broken clouds
41,Xichang,CN,27.8964,102.2634,42.58,83,3,2.59,clear sky
42,Mandalgovi,MN,45.7625,106.2708,14.49,55,15,9.91,few clouds
