City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Atuona,PF,78.57,light rain,-9.8,-139.0333,Villa Enata
4,Liwale,TZ,69.37,moderate rain,-9.7667,37.9333,Samoma lodge
6,East London,ZA,72.21,broken clouds,-33.0153,27.9116,Tu Casa
7,Mar Del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
10,Oranjemund,Namimbia,65.37,broken clouds,-28.55,16.4333,The Fisherman's Cove
11,Busselton,AU,66.09,broken clouds,-33.65,115.3333,Observatory Guest House
13,Moerai,PF,80.89,broken clouds,-22.4333,-151.3333,Le Manotel
15,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
20,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
22,Avarua,CK,84.25,overcast clouds,-21.2078,-159.775,Paradise Inn
26,Vila Velha,BR,78.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
27,Hithadhoo,MV,82.11,few clouds,-0.6,73.0833,Scoop Guest House
28,Arraial Do Cabo,BR,82.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
29,Harer,ET,65.79,overcast clouds,9.3094,42.1258,Amir Cultural Harari Guesthouse
31,Kapaa,US,79.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Hermanus,ZA,66.79,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
34,Camana,PE,73.08,moderate rain,-16.6228,-72.7111,Hostal Morales
37,Port Alfred,ZA,72.52,few clouds,-33.5906,26.891,The Halyards Hotel
38,Mount Isa,AU,80.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
44,Namibe,AO,78.21,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
46,Mangrol,IN,69.58,clear sky,21.1167,70.1167,Hotel The Royal Honours
47,Atuona,PF,78.57,light rain,-9.8,-139.0333,Villa Enata
51,Liwale,TZ,69.37,moderate rain,-9.7667,37.9333,Samoma lodge
53,East London,ZA,72.21,broken clouds,-33.0153,27.9116,Tu Casa
54,Mar Del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
57,Oranjemund,Namimbia,65.37,broken clouds,-28.55,16.4333,The Fisherman's Cove
58,Busselton,AU,66.09,broken clouds,-33.65,115.3333,Observatory Guest House
60,Moerai,PF,80.89,broken clouds,-22.4333,-151.3333,Le Manotel
62,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
67,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
69,Avarua,CK,84.25,overcast clouds,-21.2078,-159.775,Paradise Inn
73,Vila Velha,BR,78.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
74,Hithadhoo,MV,82.11,few clouds,-0.6,73.0833,Scoop Guest House
75,Arraial Do Cabo,BR,82.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
76,Harer,ET,65.79,overcast clouds,9.3094,42.1258,Amir Cultural Harari Guesthouse
78,Kapaa,US,79.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
80,Hermanus,ZA,66.79,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
81,Camana,PE,73.08,moderate rain,-16.6228,-72.7111,Hostal Morales
84,Port Alfred,ZA,72.52,few clouds,-33.5906,26.891,The Halyards Hotel
85,Mount Isa,AU,80.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
91,Namibe,AO,78.21,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
93,Mangrol,IN,69.58,clear sky,21.1167,70.1167,Hotel The Royal Honours
94,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
96,Keti Bandar,PK,71.91,clear sky,24.1447,67.4497,Haji laloo memon house
100,Sur,OM,72.61,clear sky,22.5667,59.5289,Sur Plaza Hotel
103,Dezful,IR,65.82,broken clouds,32.3811,48.4058,مهمانپذیر خوزستان
104,Sawakin,SD,70.21,clear sky,19.1059,37.3321,فندق الدويم
107,Sola,VU,81.27,moderate rain,-13.8833,167.55,Leumerus Bungalows
108,Hualmay,PE,74.12,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
109,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
110,Plettenberg Bay,ZA,69.78,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
112,Minab,IR,65.7,clear sky,27.1467,57.0801,Bam campground
113,Rikitea,PF,79.09,few clouds,-23.1203,-134.9692,People ThankYou
114,Manggar,ID,76.87,light rain,-2.8833,108.2667,Guest Hotel
115,Antofagasta,CL,67.28,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
116,Cidreira,BR,76.41,overcast clouds,-30.1811,-50.2056,Hotel Castelo
122,Port Elizabeth,ZA,71.1,clear sky,-33.918,25.5701,39 On Nile Guest House
129,Bonthe,SL,77.97,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
133,Cabo San Lucas,MX,76.6,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
134,Coquimbo,CL,69.53,clear sky,-29.9533,-71.3436,Hotel San Juan
135,Gorontalo,ID,72.88,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
138,Grand Gaube,MU,79.2,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
140,Mapiri,BO,75.2,overcast clouds,-15.25,-68.1667,
143,Cape Town,ZA,68.41,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
145,Iquique,CL,73.44,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
146,Illapel,CL,76.84,clear sky,-31.6308,-71.1653,Hotel Londres
150,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
153,Harper,LR,79.56,scattered clouds,4.375,-7.7169,Screensaver
155,Awallan,PH,70.3,overcast clouds,17.9244,121.913,Bunuga Baggao Cagayan
157,Katherine,AU,79.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
