City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lorengau,-2.0226,147.2712,82.67,76,99,2.95,PG,2/13/2022 23:19
1,Mataura,-46.1927,168.8643,62.47,48,37,2.28,NZ,2/13/2022 23:23
2,Taoudenni,22.6783,-3.9836,62.38,25,0,11.07,ML,2/13/2022 23:21
3,Puerto Ayora,-0.7393,-90.3518,76.55,90,91,1.99,EC,2/13/2022 23:23
4,Albany,42.6001,-73.9662,23.27,55,100,8.37,US,2/13/2022 23:18
5,Coahuayana,18.7333,-103.6833,94.48,42,96,6.31,MX,2/13/2022 23:23
6,Bethel,41.3712,-73.414,29.05,67,100,6.91,US,2/13/2022 23:17
7,Bria,6.5423,21.9863,74.17,23,49,4.07,CF,2/13/2022 23:23
8,Tasiilaq,65.6145,-37.6368,21.36,93,100,14.36,GL,2/13/2022 23:21
9,Zhigansk,66.7697,123.3711,-37.35,100,56,1.54,RU,2/13/2022 23:18
10,Rikitea,-23.1203,-134.9692,78.62,71,66,12.82,PF,2/13/2022 23:18
11,Bengkulu,-3.8004,102.2655,75.29,88,100,3.27,ID,2/13/2022 23:23
12,Shache,38.4167,77.2406,29.71,50,7,4.9,CN,2/13/2022 23:23
13,Punta Arenas,-53.15,-70.9167,48.31,43,20,20.71,CL,2/13/2022 23:22
14,Rio Gallegos,-51.6226,-69.2181,51.85,28,20,39.12,AR,2/13/2022 23:23
15,Constitucion,-35.3333,-72.4167,63.77,80,58,6.2,CL,2/13/2022 23:23
16,Harper,4.375,-7.7169,77.81,85,52,4.12,LR,2/13/2022 23:23
17,Cape Town,-33.9258,18.4232,72.12,81,20,18.41,ZA,2/13/2022 23:17
18,Manzanillo,20.3433,-77.1167,77.74,77,8,8.75,CU,2/13/2022 23:23
19,Georgetown,5.4112,100.3354,79.9,90,40,3.44,MY,2/13/2022 23:19
20,Tiksi,71.6872,128.8694,-12.68,93,12,11.59,RU,2/13/2022 23:20
21,Keffi,8.8486,7.8736,73.78,14,78,4,NG,2/13/2022 23:23
22,Macherla,16.4833,79.4333,67.86,96,9,4.68,IN,2/13/2022 23:23
23,Tak,16.5833,98.8333,58.71,55,73,1.57,TH,2/13/2022 23:23
24,Gizo,-8.103,156.8419,82.85,73,84,5.06,SB,2/13/2022 23:23
